date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 13:19:33	34.90	30.60	26.50	70.80	282.60	12.00	 7.40
2012_01_01 13:25:49	35.10	30.60	26.50	70.60	338.40	12.00	 7.60
2012_01_01 13:32:04	35.20	30.60	26.30	69.80	278.00	12.00	 7.60
2012_01_01 13:38:29	35.20	30.60	26.50	70.20	277.20	12.00	 8.40
2012_01_01 13:44:49	35.20	30.60	27.00	71.80	219.80	12.00	10.40
2012_01_01 13:51:05	35.30	30.60	27.00	71.40	286.00	12.00	10.20
2012_01_01 13:57:21	35.60	30.60	27.60	72.40	216.80	12.00	 9.40
2012_01_01 14:03:37	35.70	30.60	27.40	71.20	278.60	13.00	 9.80
2012_01_01 14:09:53	35.90	30.60	27.40	71.00	217.80	14.00	11.00
2012_01_01 14:16:09	35.80	30.60	26.80	69.40	217.00	14.00	10.60
2012_01_01 14:22:25	35.80	30.60	26.60	68.80	351.00	14.00	 8.00
2012_01_01 14:28:42	35.80	30.60	26.40	68.20	351.20	14.00	 9.20
2012_01_01 14:34:57	36.00	30.60	27.30	70.20	285.00	14.00	 9.20
2012_01_01 14:41:14	36.10	30.60	26.50	67.80	217.20	13.00	10.00
2012_01_01 14:47:33	36.10	30.60	26.40	67.60	75.80	13.00	 9.80
2012_01_01 14:53:49	36.10	30.60	27.30	70.00	145.00	13.00	11.00
2012_01_01 15:00:05	36.10	30.60	26.80	68.80	278.40	13.00	 7.80
2012_01_01 15:06:24	36.10	30.60	27.00	69.20	282.80	12.00	 9.80
2012_01_01 15:12:39	36.30	30.60	26.90	68.40	268.40	12.00	 8.40
2012_01_01 15:18:55	36.30	30.60	27.10	68.80	346.60	12.00	 9.20
2012_01_01 15:25:11	36.40	30.60	27.10	68.60	343.60	13.00	10.40
2012_01_01 15:31:27	36.50	30.60	27.00	68.00	349.00	13.00	10.80
2012_01_01 15:37:43	36.40	30.60	26.90	68.00	356.00	16.00	12.00
2012_01_01 15:43:58	36.50	30.60	27.20	68.60	354.80	16.00	11.60
2012_01_01 15:50:15	36.50	30.60	27.50	69.60	146.60	16.00	10.00
2012_01_01 15:56:30	36.50	30.60	27.20	68.60	283.00	16.00	10.80
2012_01_01 16:02:46	36.50	30.60	27.20	68.60	215.80	16.00	10.40
2012_01_01 16:10:03	36.50	30.60	27.20	68.60	83.20	14.00	11.80
2012_01_01 16:16:19	36.50	30.60	27.60	69.80	147.80	14.00	11.40
2012_01_01 16:22:35	36.50	30.60	27.90	70.80	221.20	14.00	 9.60
2012_01_01 16:28:51	36.40	30.60	27.40	69.60	 9.60	14.00	 8.40
2012_01_01 16:35:09	36.30	30.60	27.70	70.60	216.20	15.00	10.40
2012_01_01 16:41:25	36.30	30.60	27.60	70.20	81.00	15.00	11.80
2012_01_01 16:47:41	36.20	30.60	27.10	69.40	17.00	15.00	 9.20
2012_01_01 16:53:57	36.10	30.60	27.40	70.40	81.40	15.00	 9.60
2012_01_01 17:00:13	35.90	30.60	27.20	70.40	13.20	15.00	 7.80
2012_01_01 17:11:51	35.90	30.60	27.30	70.60	216.00	10.00	 7.60
2012_01_01 17:19:15	36.00	30.60	27.90	72.00	81.80	15.00	10.60
2012_01_01 17:28:08	35.70	30.60	27.40	71.60	83.40	15.00	 8.20
2012_01_01 17:34:42	35.60	30.60	27.40	71.80	77.20	15.00	 8.80
2012_01_01 17:41:23	35.50	30.60	27.80	73.20	23.60	13.00	 9.80
2012_01_01 17:47:48	35.70	30.60	27.60	72.20	10.60	16.00	12.00
2012_01_01 17:54:07	36.10	30.60	27.90	72.00	 7.80	17.00	14.00
2012_01_01 18:00:24	36.10	30.60	27.90	71.60	146.80	17.00	15.20
2012_01_01 18:06:40	36.20	30.60	27.90	71.60	283.00	20.00	16.00
2012_01_01 18:12:56	36.10	30.60	27.80	71.40	289.60	20.00	13.20
2012_01_01 18:19:12	36.20	30.60	27.90	71.60	287.00	20.00	15.20
2012_01_01 18:25:28	36.20	30.60	27.90	71.60	353.60	20.00	13.40
2012_01_01 18:31:45	36.20	30.60	27.60	70.80	213.00	20.00	13.80
2012_01_01 18:38:01	36.10	30.60	27.90	71.80	147.00	17.00	13.40
2012_01_01 18:44:17	35.90	30.60	27.60	71.60	 9.60	17.00	11.40
2012_01_01 18:50:33	35.90	30.60	28.10	73.00	89.00	17.00	 9.60
2012_01_01 18:56:50	36.00	30.60	27.80	71.80	150.00	17.00	11.60
2012_01_01 19:04:06	35.90	30.60	28.10	72.80	149.20	17.00	11.80
2012_01_01 19:10:23	36.00	30.60	28.10	72.60	285.00	16.00	12.20
2012_01_01 19:16:39	36.20	30.60	28.20	72.40	138.20	17.00	12.40
